File Path	chrom://win-bbnlfkl0hhc/database/617/03.10.2022(RI).seq/840.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	database
Injection	M214
Injection Number	58
Position	BB6
Comment	
Processing Method	GPC
Instrument Method	New Instrument Method (01.07.2022)
Type	Unknown
Status	Finished
Injection Date	04.10.2022
Injection Time	6:17:28
Injection Volume (µl)	50,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000000
Time Max. (min)	15,000000
Data Points	9001
Detector	RI
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-5,204500
Signal Max.	5,435625
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0,000000	n.a.	0,049750
0,001667	0,1	0,049625
0,003333	0,1	0,049500
0,005000	0,1	0,049375
0,006667	0,1	0,049250
0,008333	0,1	0,049000
0,010000	0,1	0,048750
0,011667	0,1	0,048500
0,013333	0,1	0,048500
0,015000	0,1	0,048375
0,016667	0,1	0,048250
0,018333	0,1	0,048250
0,020000	0,1	0,048125
0,021667	0,1	0,048250
0,023333	0,1	0,048375
0,025000	0,1	0,048500
0,026667	0,1	0,048625
0,028333	0,1	0,048875
0,030000	0,1	0,049250
0,031667	0,1	0,049625
0,033333	0,1	0,050000
0,035000	0,1	0,050375
0,036667	0,1	0,050500
0,038333	0,1	0,050750
0,040000	0,1	0,050750
0,041667	0,1	0,050875
0,043333	0,1	0,051000
0,045000	0,1	0,051250
0,046667	0,1	0,051375
0,048333	0,1	0,051375
0,050000	0,1	0,051250
0,051667	0,1	0,051125
0,053333	0,1	0,051250
0,055000	0,1	0,051250
0,056667	0,1	0,051250
0,058333	0,1	0,051375
0,060000	0,1	0,051625
0,061667	0,1	0,051500
0,063333	0,1	0,051375
0,065000	0,1	0,051250
0,066667	0,1	0,051250
0,068333	0,1	0,051375
0,070000	0,1	0,051375
0,071667	0,1	0,051375
0,073333	0,1	0,051250
0,075000	0,1	0,050875
0,076667	0,1	0,050875
0,078333	0,1	0,050875
0,080000	0,1	0,050875
0,081667	0,1	0,050875
0,083333	0,1	0,050875
0,085000	0,1	0,050875
0,086667	0,1	0,050875
0,088333	0,1	0,050875
0,090000	0,1	0,051000
0,091667	0,1	0,051000
0,093333	0,1	0,051000
0,095000	0,1	0,051000
0,096667	0,1	0,051000
0,098333	0,1	0,051000
0,100000	0,1	0,051000
0,101667	0,1	0,051125
0,103333	0,1	0,051250
0,105000	0,1	0,051375
0,106667	0,1	0,051375
0,108333	0,1	0,051500
0,110000	0,1	0,051625
0,111667	0,1	0,051750
0,113333	0,1	0,051750
0,115000	0,1	0,051750
